Level: 0, time needed: 13.5688773
Level: 2, time needed: 22.42532
Level: 0, time needed: 3.1855344
Level: 1, time needed: 4.8830955
Level: 2, time needed: 3.3750092
Level: 0, time needed: 3.8145929
Level: 1, time needed: 1.6992813
Level: 2, time needed: 0.9772492
Level: 3, time needed: 1.1796607
Level: 0, time needed: 6.2573296
Level: 0, time needed: 9.9531185
Level: 1, time needed: 4.3925481
Level: 2, time needed: 5.3485125
Level: 3, time needed: 3.4676684
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.41, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.41, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.41, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.42, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.44, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.44, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.44, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.44, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.45, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.45, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.46, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.46, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.47, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.47, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.47, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.47, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.49, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.49, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.49, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.49, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.50, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.50, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.51, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.51, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.54, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.54, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.54, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.54, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.55, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.55, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.55, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.56, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.57, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.57, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.57, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.57, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.59, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.59, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.59, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.59, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.60, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.60, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.61, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.61, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.63, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.64, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.64, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.64, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.65, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.65, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.65, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.66, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.67, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.67, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.67, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.67, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.69, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.69, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.69, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.69, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.72, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.72, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.72, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.72, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.73, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.74, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.74, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.74, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.75, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.75, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.75, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.76, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.77, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.77, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.77, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.77, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.78, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.79, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.79, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:04 PM, Level: 0, time needed: 0.79, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.82, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.82, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.82, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.82, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.83, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.84, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.84, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.84, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.85, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.85, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.85, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.86, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.87, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.87, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.87, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.87, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.88, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.88, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.89, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.89, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.92, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.92, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.92, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.92, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.93, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.93, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.94, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.94, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.95, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.95, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.95, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.95, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.97, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.97, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.97, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.97, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.98, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.98, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.99, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 0.99, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.02, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.02, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.02, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.03, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.03, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.03, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.04, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.04, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.05, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.05, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.05, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.05, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.07, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.07, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.07, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.07, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.08, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.08, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.09, Linienart-Nr: 2, Changed Linie: 3, Button clicked: richtig
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.09, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
9/7/2018 12:45:05 PM, Level: 0, time needed: 1.12, Linienart-Nr: 2, Changed Linie: 3, Button clicked: falsch
